Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,New Listings,New Listings Mom,New Listings Yoy,Period End,Property Type,Region
0.968924924,-0.20%,0.40%,19324,-28.00%,6.80%,98755,4.50%,-2.40%,64,6,-9,$210K,-3.40%,5.60%,33231,57.50%,-0.40%,1/31/16,Condo/Co-op, National
0.970547334,0.20%,0.30%,20472,5.90%,7.60%,104154,5.30%,-0.10%,63,-1,-6,$211K,0.40%,5.60%,36719,10.40%,14.90%,2/29/16,Condo/Co-op, National
0.975323404,0.50%,0.40%,27311,33.40%,4.10%,106826,2.60%,-0.90%,56,-7,-6,$221K,4.90%,4.60%,41650,13.40%,3.60%,3/31/16,Condo/Co-op, National
0.977780574,0.20%,0.40%,29525,8.10%,-0.50%,108787,1.80%,-1.70%,49,-7,-6,$227K,2.70%,5.70%,41356,-0.70%,-0.10%,4/30/16,Condo/Co-op, National
0.978858658,0.10%,0.30%,31829,7.80%,3.60%,108180,-0.60%,-4.40%,47,-2,-7,$229K,0.90%,3.50%,39221,-5.20%,1.20%,5/31/16,Condo/Co-op, National
0.980510828,0.20%,0.30%,34633,8.80%,-0.10%,106854,-1.20%,-4.50%,47,0,-4,$234K,2.20%,4.40%,38436,-2.00%,0.10%,6/30/16,Condo/Co-op, National
0.979582765,-0.10%,0.20%,30609,-11.60%,-14.50%,106406,-0.40%,-3.00%,48,1,-4,$236K,0.90%,9.50%,35692,-7.10%,-2.50%,7/31/16,Condo/Co-op, National
0.978300343,-0.10%,0.10%,32807,7.20%,13.50%,103479,-2.70%,-3.60%,50,2,-3,$231K,-2.50%,4.10%,35627,-0.20%,3.80%,8/31/16,Condo/Co-op, National
0.977461439,-0.10%,0.20%,29828,-9.10%,14.90%,103541,0.10%,-2.40%,51,1,-2,$231K,0.30%,6.30%,34994,-1.80%,3.30%,9/30/16,Condo/Co-op, National
0.976208325,-0.10%,0.20%,26794,-10.20%,-3.10%,100666,-2.80%,-3.80%,52,1,-3,$230K,-0.40%,7.60%,30441,-13.00%,-7.70%,10/31/16,Condo/Co-op, National
0.975891185,0.00%,0.40%,25392,-5.20%,15.00%,96630,-4.00%,-4.80%,51,-1,-5,$233K,1.30%,7.30%,27021,-11.20%,0.70%,11/30/16,Condo/Co-op, National
0.973547055,-0.20%,0.20%,26098,2.80%,-2.80%,88899,-8.00%,-6.20%,55,4,-3,$229K,-1.70%,5.50%,20786,-23.10%,-1.70%,12/31/16,Condo/Co-op, National
0.968442478,-0.20%,-0.10%,867,-20.50%,8.60%,4223,4.20%,-8.00%,94,17,4,$250K,-11.80%,-4.40%,1351,124.80%,1.00%,1/31/16,Condo/Co-op,"Chicago, IL"
0.971136587,0.30%,0.00%,804,-7.30%,7.80%,4829,14.30%,-6.40%,86,-8,-9,$272K,8.90%,11.10%,2070,53.20%,8.30%,2/29/16,Condo/Co-op,"Chicago, IL"
0.980079163,0.90%,0.40%,1157,43.90%,3.50%,5352,10.80%,-7.30%,77,-9,-15,$295K,8.40%,7.30%,2446,18.20%,-3.30%,3/31/16,Condo/Co-op,"Chicago, IL"
0.987682157,0.80%,0.80%,1505,30.10%,2.40%,5546,3.60%,-10.10%,56,-21,-7,$310K,5.10%,3.30%,2376,-2.90%,-1.60%,4/30/16,Condo/Co-op,"Chicago, IL"
0.983973078,-0.40%,0.00%,1726,14.70%,1.60%,5738,3.50%,-9.40%,54,-2,-1,$316K,1.90%,1.20%,2293,-3.50%,0.90%,5/31/16,Condo/Co-op,"Chicago, IL"
0.985096804,0.10%,0.10%,1935,12.10%,-8.90%,5610,-2.20%,-10.30%,53,-1,-3,$308K,-2.50%,-0.60%,2120,-7.50%,-1.30%,6/30/16,Condo/Co-op,"Chicago, IL"
0.98474352,0.00%,0.40%,1696,-12.40%,-16.50%,5586,-0.40%,-8.00%,55,2,-6,$315K,2.30%,6.10%,1923,-9.30%,-2.60%,7/31/16,Condo/Co-op,"Chicago, IL"
0.982833057,-0.20%,0.20%,1784,5.20%,16.70%,5267,-5.70%,-8.50%,60,5,-3,$290K,-7.90%,-1.40%,1707,-11.20%,0.90%,8/31/16,Condo/Co-op,"Chicago, IL"
0.978347976,-0.40%,-0.10%,1489,-16.50%,50.90%,5395,2.40%,-5.60%,62,2,-3,$290K,0.00%,0.00%,1781,4.30%,6.20%,9/30/16,Condo/Co-op,"Chicago, IL"
0.978472174,0.00%,0.50%,1177,-21.00%,-10.50%,5142,-4.70%,-3.80%,64,2,-5,$287K,-1.00%,5.90%,1270,-28.70%,-1.40%,10/31/16,Condo/Co-op,"Chicago, IL"
0.978343381,0.00%,0.60%,1005,-14.60%,7.50%,4579,-10.90%,-5.50%,67,3,-1,$299K,4.20%,11.60%,968,-23.80%,1.40%,11/30/16,Condo/Co-op,"Chicago, IL"
0.978922718,0.10%,0.90%,1085,8.00%,-0.50%,3745,-18.20%,-7.60%,72,5,-5,$299K,0.00%,5.50%,639,-34.00%,6.30%,12/31/16,Condo/Co-op,"Chicago, IL"
,,,146,-40.40%,-1.40%,467,13.60%,-20.40%,33,-2,-17,$158K,8.60%,21.60%,270,58.80%,18.90%,1/31/16,Condo/Co-op,"Dallas, TX"
,,,212,45.20%,11.60%,461,-1.30%,-21.50%,31,-2,-11,$174K,10.00%,16.80%,256,-5.20%,14.30%,2/29/16,Condo/Co-op,"Dallas, TX"
,,,269,26.90%,22.80%,474,2.80%,-6.50%,19,-12,-16,$162K,-6.80%,-9.50%,317,23.80%,13.60%,3/31/16,Condo/Co-op,"Dallas, TX"
,,,235,-12.60%,-12.60%,490,3.40%,-12.00%,25,6,-3,$168K,3.70%,1.90%,275,-13.20%,-20.10%,4/30/16,Condo/Co-op,"Dallas, TX"
,,,245,4.30%,-6.80%,465,-5.10%,-14.40%,25,0,2,$180K,7.10%,12.60%,292,6.20%,-5.50%,5/31/16,Condo/Co-op,"Dallas, TX"
,,,264,7.80%,9.10%,456,-1.90%,-21.10%,23,-2,-1,$186K,3.30%,9.40%,292,0.00%,-7.60%,6/30/16,Condo/Co-op,"Dallas, TX"
,,,238,-9.80%,-9.80%,478,4.80%,-16.90%,20,-3,-5,$187K,0.30%,6.60%,267,-8.60%,-17.10%,7/31/16,Condo/Co-op,"Dallas, TX"
,,,246,3.40%,-11.80%,500,4.60%,-6.50%,19,-1,-12,$170K,-8.80%,0.10%,310,16.10%,14.00%,8/31/16,Condo/Co-op,"Dallas, TX"
,,,227,-7.70%,4.10%,566,13.20%,5.20%,23,4,-5,$195K,14.70%,25.90%,315,1.60%,20.70%,9/30/16,Condo/Co-op,"Dallas, TX"
,,,174,-23.30%,-27.50%,579,2.30%,10.70%,28,5,0,$186K,-4.70%,16.50%,255,-19.00%,0.00%,10/31/16,Condo/Co-op,"Dallas, TX"
,,,179,2.90%,3.50%,539,-6.90%,12.30%,26,-2,-3,$160K,-13.90%,-1.20%,196,-23.10%,-5.80%,11/30/16,Condo/Co-op,"Dallas, TX"
,,,205,14.50%,-16.30%,475,-11.90%,15.60%,35,9,0,$205K,28.10%,40.90%,185,-5.60%,8.80%,12/31/16,Condo/Co-op,"Dallas, TX"
0.984535485,-0.40%,-0.20%,189,-45.50%,3.30%,381,1.10%,20.20%,40,7,11,$215K,0.00%,7.00%,256,70.70%,-7.90%,1/31/16,Condo/Co-op,"Denver, CO"
0.998153121,1.40%,0.60%,236,24.90%,11.80%,420,10.20%,37.70%,34,-6,6,$208K,-3.50%,19.30%,326,27.30%,13.60%,2/29/16,Condo/Co-op,"Denver, CO"
1.005967224,0.80%,0.40%,277,17.40%,-11.80%,346,-17.60%,-7.50%,18,-16,4,$220K,6.00%,8.30%,355,8.90%,-15.30%,3/31/16,Condo/Co-op,"Denver, CO"
1.003650812,-0.20%,-0.40%,310,11.90%,-8.00%,383,10.70%,-15.60%,14,-4,4,$222K,1.00%,15.50%,414,16.60%,-10.20%,4/30/16,Condo/Co-op,"Denver, CO"
1.008579689,0.50%,-0.20%,323,4.20%,1.30%,409,6.80%,-19.80%,6,-8,-8,$220K,-1.00%,4.80%,410,-1.00%,-11.60%,5/31/16,Condo/Co-op,"Denver, CO"
1.012360875,0.40%,0.10%,347,7.40%,-15.20%,486,18.80%,-11.20%,6,0,-6,$230K,4.50%,21.10%,440,7.30%,-1.80%,6/30/16,Condo/Co-op,"Denver, CO"
1.002540883,-1.00%,0.00%,324,-6.60%,-28.20%,507,4.30%,-11.80%,7,1,-10,$230K,0.00%,9.30%,376,-14.50%,-16.60%,7/31/16,Condo/Co-op,"Denver, CO"
1.004033436,0.10%,0.00%,333,2.80%,-14.60%,508,0.20%,-12.40%,11,4,-11,$220K,-4.30%,5.30%,414,10.10%,5.30%,8/31/16,Condo/Co-op,"Denver, CO"
0.996410776,-0.80%,-0.40%,328,-1.50%,1.20%,542,6.70%,-0.60%,12,1,-12,$225K,2.30%,12.50%,388,-6.30%,6.30%,9/30/16,Condo/Co-op,"Denver, CO"
0.991446256,-0.50%,-0.40%,306,-6.70%,-5.30%,532,-1.80%,-3.40%,16,4,-12,$223K,-0.80%,6.30%,296,-23.70%,-28.00%,10/31/16,Condo/Co-op,"Denver, CO"
0.990061493,-0.10%,-0.30%,264,-13.70%,-7.40%,480,-9.80%,0.60%,17,1,-11,$230K,3.00%,0.00%,250,-15.50%,1.20%,11/30/16,Condo/Co-op,"Denver, CO"
