Worksheet Filter,Measure Display,Number of Records,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,City,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median List Ppsf,Median List Ppsf Mom,Median List Ppsf Yoy,Median List Price,Median List Price Mom,Median List Price Yoy,Median Ppsf,Median Ppsf Mom,Median Ppsf Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,New Listings,New Listings Mom,New Listings Yoy,Period Begin,Period Duration,Period End,Price Drops,Price Drops Mom,Price Drops Yoy,Property Type,Region,Region Type,Sold Above List,Sold Above List Mom,Sold Above List Yoy,State,State Code,Table Id
Value,,1,0.968704059,0.00%,-0.10%,Chicago,2098,-15.20%,17.10%,10078,1.20%,-6.20%,86,13,1,173.9373898,0.35658188,0.076989037,249900,0.389105058,0.092459016,146.8253968,-0.124098219,-0.004573581,$215K,-10.30%,2.40%,4.8,0.8,-1.2,2887,63.70%,-1.00%,1/1/16,30,1/31/16,0.142984719,0.011593459,-0.027465597,All Residential,"Chicago, IL",place,0.216499762,-0.004599673,-0.004047419,Illinois,IL,29470
Value,,1,0.970826833,0.20%,0.40%,Chicago,1876,-10.60%,7.40%,10969,8.80%,-3.30%,84,-2,-6,202.9840389,0.166994854,0.015145782,283450,0.134253701,0.045940959,152.8368306,0.040942738,0.103821554,$225K,4.70%,13.20%,5.8,1,-0.7,4130,43.10%,16.80%,2/1/16,30,2/29/16,0.146868447,0.003883728,0.006152524,All Residential,"Chicago, IL",place,0.221748401,0.005248639,-0.004482985,Illinois,IL,29470
Value,,1,0.980057011,0.90%,0.80%,Chicago,2393,27.60%,0.80%,11762,7.20%,-3.50%,79,-5,-4,206.7615385,0.018609836,0.047591795,289900,0.022755336,0.074101519,166.6666667,0.090487587,0.060914154,$250K,10.90%,10.90%,4.9,-0.9,-0.2,4835,17.10%,-1.10%,3/1/16,30,3/31/16,0.165022955,0.018154508,-0.010795809,All Residential,"Chicago, IL",place,0.264632107,0.042883706,0.019794349,Illinois,IL,29470
Value,,1,0.986221847,0.60%,1.00%,Chicago,2908,21.50%,2.10%,12285,4.40%,-6.00%,60,-19,-7,206.491063,-0.001308152,0.08489175,285000,-0.01690238,0.055946647,196.7049685,0.180229811,0.126968158,$270K,8.20%,5.90%,4.2,-0.7,-0.4,4809,-0.50%,-4.70%,4/1/16,30,4/30/16,0.167114367,0.002091412,-0.020883183,All Residential,"Chicago, IL",place,0.274759285,0.010127178,0.026956121,Illinois,IL,29470
Value,,1,0.98304026,-0.30%,0.10%,Chicago,3204,10.20%,-1.90%,12723,3.60%,-6.40%,56,-4,-1,198.4128679,-0.039121282,0.04617694,284450,-0.001929825,0.053908855,201.2241414,0.022974371,0.06357694,$285K,5.60%,5.90%,4,-0.2,-0.2,4778,-0.60%,2.30%,5/1/16,30,5/31/16,0.179203018,0.012088651,-0.007570558,All Residential,"Chicago, IL",place,0.265917603,-0.008841682,0.001986188,Illinois,IL,29470
Value,,1,0.987391,0.40%,0.50%,Chicago,3692,15.20%,-9.80%,12990,2.10%,-5.40%,54,-2,-3,194.4722222,-0.019860837,0.026219585,274724,-0.034192301,0.03669434,206.25,0.02497642,0.035524611,$280K,-1.80%,1.80%,3.5,-0.5,0.1,4669,-2.30%,0.40%,6/1/16,30,6/30/16,0.206235566,0.027032548,-0.003926769,All Residential,"Chicago, IL",place,0.292524377,0.026606774,0.03586992,Illinois,IL,29470
Value,,1,0.986588127,-0.10%,0.70%,Chicago,3343,-9.50%,-14.90%,13054,0.50%,-4.90%,56,2,-6,188.9848812,-0.02821658,0.031371473,274000,-0.002635372,0.057915058,203.5770647,-0.012959686,0.017885324,$290K,3.60%,5.50%,3.9,0.4,0.4,4092,-12.40%,-4.60%,7/1/16,30,7/31/16,0.199325877,-0.006909689,-0.020993342,All Residential,"Chicago, IL",place,0.294135248,0.001610871,0.060369015,Illinois,IL,29470
Value,,1,0.982905574,-0.40%,0.30%,Chicago,3628,8.50%,20.50%,12691,-2.80%,-5.20%,61,5,-2,178.5714286,-0.055102041,0.04411847,259900,-0.051459854,0.06124949,194.4956194,-0.044609373,0.004157838,$270K,-7.10%,1.30%,3.5,-0.4,-0.9,3902,-4.60%,1.70%,8/1/16,30,8/31/16,0.214797888,0.015472011,-0.002268539,All Residential,"Chicago, IL",place,0.268743109,-0.025392139,0.046816199,Illinois,IL,29470
Value,,1,0.979693736,-0.30%,-0.20%,Chicago,3020,-16.80%,52.90%,12853,1.30%,-2.50%,63,2,-2,196.4622642,0.100188679,0.06307914,277450,0.067525972,0.067525972,187.5,-0.035968005,0.056142668,$257K,-4.80%,2.80%,4.3,0.8,-2.4,3821,-2.10%,2.80%,9/1/16,30,9/30/16,0.227262118,0.01246423,0.00068954,All Residential,"Chicago, IL",place,0.243046358,-0.025696752,0.007096991,Illinois,IL,29470
Value,,1,0.980585057,0.10%,0.50%,Chicago,2660,-11.90%,-10.90%,12356,-3.90%,-2.10%,65,2,-4,175,-0.109243697,0.087058824,250000,-0.098936745,0.042100875,173.9054532,-0.07250425,0.067815561,$252K,-1.80%,6.30%,4.6,0.3,0.4,3109,-18.60%,-2.00%,10/1/16,30,10/31/16,0.210990612,-0.016271506,-0.006486809,All Residential,"Chicago, IL",place,0.241353383,-0.001692974,0.012695868,Illinois,IL,29470
