Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,New Listings,New Listings Mom,New Listings Yoy,Period End,Property Type,Region
0.95396752,0.00%,0.00%,3976,-22.20%,8.80%,20965,-3.00%,-7.30%,69,6,-10,$265K,-1.00%,4.00%,5513,31.60%,-5.70%,1/31/16,Multi-Family (2-4 Unit), National
0.954478036,0.00%,0.30%,3973,0.80%,14.80%,20592,-0.40%,-7.30%,73,5,-10,$257K,-3.60%,9.50%,6107,12.20%,14.50%,2/29/16,Multi-Family (2-4 Unit), National
0.959916794,0.60%,0.60%,4589,14.00%,5.00%,21159,1.30%,-5.20%,65,-8,-13,$271K,6.10%,9.20%,7399,19.60%,7.30%,3/31/16,Multi-Family (2-4 Unit), National
0.962152174,0.30%,0.40%,4553,-1.00%,1.20%,21521,1.90%,-7.80%,58,-7,-14,$276K,1.80%,8.60%,7292,-1.10%,-6.00%,4/30/16,Multi-Family (2-4 Unit), National
0.963942612,0.20%,0.20%,4908,7.70%,7.50%,21817,1.20%,-11.80%,53,-6,-8,$289K,5.10%,3.90%,7347,0.60%,-4.10%,5/31/16,Multi-Family (2-4 Unit), National
0.967441833,0.40%,0.50%,5409,9.50%,3.90%,22389,2.10%,-10.70%,51,-3,-6,$285K,-1.10%,3.00%,7542,1.90%,-3.90%,6/30/16,Multi-Family (2-4 Unit), National
0.967060984,0.00%,0.20%,4866,-10.00%,-12.20%,22928,2.20%,-10.30%,51,0,-3,$290K,1.80%,5.20%,7027,-7.10%,-8.60%,7/31/16,Multi-Family (2-4 Unit), National
0.963879664,-0.30%,0.10%,5483,12.60%,19.70%,22772,-0.50%,-10.80%,50,-1,-4,$287K,-0.80%,-1.50%,7328,4.60%,1.20%,8/31/16,Multi-Family (2-4 Unit), National
0.963889178,0.00%,0.30%,4848,-11.60%,7.60%,22564,-0.80%,-11.40%,53,3,-2,$288K,0.20%,1.70%,6663,-9.10%,-6.60%,9/30/16,Multi-Family (2-4 Unit), National
0.963593563,0.00%,0.60%,4484,-7.70%,-11.10%,21607,-4.50%,-12.90%,54,1,-4,$300K,4.10%,9.10%,5610,-16.00%,-17.60%,10/31/16,Multi-Family (2-4 Unit), National
0.964409095,0.10%,1.20%,4442,-0.80%,4.60%,20345,-5.60%,-13.40%,54,0,-6,$286K,-4.60%,7.30%,4721,-15.80%,-9.70%,11/30/16,Multi-Family (2-4 Unit), National
0.960331052,-0.40%,0.60%,4614,3.60%,-9.90%,18163,-11.30%,-16.50%,58,4,-5,$292K,2.50%,9.50%,3397,-28.50%,-19.30%,12/31/16,Multi-Family (2-4 Unit), National
0.974717261,1.00%,-0.50%,337,-5.90%,25.30%,1560,-2.30%,-10.20%,75,6,-1,$185K,-11.90%,8.80%,397,15.70%,-5.30%,1/31/16,Multi-Family (2-4 Unit),"Chicago, IL"
0.986882168,1.20%,3.00%,266,-21.10%,-0.70%,1618,3.70%,-5.20%,80,5,10,$178K,-3.80%,15.20%,531,33.80%,28.30%,2/29/16,Multi-Family (2-4 Unit),"Chicago, IL"
0.976513363,-1.00%,-0.50%,312,17.30%,0.00%,1648,1.90%,-5.90%,79,-1,15,$165K,-7.30%,45.70%,596,12.20%,-6.10%,3/31/16,Multi-Family (2-4 Unit),"Chicago, IL"
0.983921172,0.70%,1.40%,334,7.10%,-0.30%,1771,7.50%,-4.30%,68,-11,-6,$209K,26.40%,39.00%,627,5.20%,-5.00%,4/30/16,Multi-Family (2-4 Unit),"Chicago, IL"
0.984803991,0.10%,-0.70%,330,-1.20%,-7.60%,1866,5.40%,-6.30%,54,-14,-1,$234K,12.10%,32.80%,637,1.60%,0.00%,5/31/16,Multi-Family (2-4 Unit),"Chicago, IL"
1.002630679,1.80%,2.00%,403,22.10%,-12.00%,1931,3.50%,-4.20%,49,-5,-12,$209K,-10.60%,3.00%,601,-5.70%,-6.50%,6/30/16,Multi-Family (2-4 Unit),"Chicago, IL"
