Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,New Listings,New Listings Mom,New Listings Yoy,Period End,Property Type,Region
0.972767427,-0.30%,0.30%,123331,-29.40%,13.00%,571894,-0.70%,-3.20%,67,6,-8,$251K,-4.70%,6.10%,175017,47.40%,-3.90%,1/31/16,Single Family Residential, National
0.973453487,0.10%,0.30%,127593,3.50%,10.50%,586586,2.40%,-2.30%,70,3,-6,$251K,0.00%,4.60%,206312,17.60%,13.50%,2/29/16,Single Family Residential, National
0.978958228,0.60%,0.40%,172463,35.20%,5.70%,611368,4.20%,-1.50%,62,-8,-6,$262K,4.30%,4.60%,263801,27.90%,9.10%,3/31/16,Single Family Residential, National
0.981985495,0.30%,0.40%,182363,5.70%,2.50%,638029,4.40%,-3.00%,51,-11,-6,$272K,4.00%,4.60%,273929,3.80%,0.60%,4/30/16,Single Family Residential, National
0.984688943,0.30%,0.40%,205973,12.90%,7.10%,652893,2.00%,-6.40%,44,-7,-6,$279K,2.40%,4.40%,268878,-2.00%,-0.80%,5/31/16,Single Family Residential, National
0.985110361,0.00%,0.20%,234800,14.00%,2.70%,666613,2.40%,-5.60%,42,-2,-4,$286K,2.70%,5.50%,271546,1.20%,2.00%,6/30/16,Single Family Residential, National
0.983692879,-0.10%,0.20%,207721,-11.50%,-12.30%,674434,1.20%,-5.30%,42,0,-4,$284K,-0.80%,5.90%,244730,-9.90%,-4.70%,7/31/16,Single Family Residential, National
0.982130517,-0.20%,0.20%,221667,6.70%,14.60%,659914,-2.20%,-6.10%,44,2,-4,$281K,-1.10%,5.00%,236488,-3.40%,4.00%,8/31/16,Single Family Residential, National
0.980871034,-0.10%,0.30%,195180,-11.90%,14.60%,652183,-1.20%,-5.80%,47,3,-3,$276K,-1.80%,4.70%,216534,-8.40%,2.00%,9/30/16,Single Family Residential, National
0.979574806,-0.10%,0.40%,178664,-8.50%,0.10%,627557,-4.00%,-6.80%,50,3,-4,$277K,0.50%,7.30%,192645,-11.20%,-4.40%,10/31/16,Single Family Residential, National
0.979653767,0.00%,0.50%,169184,-5.30%,20.50%,581188,-7.40%,-8.10%,51,1,-6,$279K,0.80%,7.60%,157402,-18.30%,2.10%,11/30/16,Single Family Residential, National
0.978003342,-0.20%,0.20%,175445,3.70%,0.50%,513982,-11.30%,-10.90%,55,4,-6,$276K,-1.10%,4.90%,115177,-26.70%,-3.30%,12/31/16,Single Family Residential, National
0.966198441,-0.40%,0.10%,819,-9.20%,26.40%,3936,-0.60%,-2.00%,83,10,0,$175K,-10.30%,3.60%,1013,34.40%,1.50%,1/31/16,Single Family Residential,"Chicago, IL"
0.965635256,-0.10%,0.10%,721,-12.00%,8.70%,4146,5.30%,2.40%,84,1,-6,$185K,5.70%,18.60%,1380,36.20%,29.60%,2/29/16,Single Family Residential,"Chicago, IL"
0.982027334,1.60%,1.80%,817,13.30%,-1.30%,4332,4.50%,2.00%,87,3,3,$190K,2.40%,5.30%,1580,14.50%,3.30%,3/31/16,Single Family Residential,"Chicago, IL"
0.986279214,0.40%,1.20%,937,14.70%,2.90%,4518,4.30%,-1.30%,67,-20,-11,$215K,13.50%,19.40%,1606,1.60%,-9.00%,4/30/16,Single Family Residential,"Chicago, IL"
0.981687178,-0.50%,0.50%,1014,8.20%,-3.80%,4660,3.10%,-2.80%,62,-5,-2,$225K,4.70%,9.80%,1658,3.20%,5.10%,5/31/16,Single Family Residential,"Chicago, IL"
