Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,New Listings,New Listings Mom,New Listings Yoy,Period End,Property Type,Region
0.974591525,-0.30%,0.30%,12806,-29.30%,13.00%,51373,0.40%,-7.30%,60,7,-6,$216K,-6.00%,3.70%,18305,45.30%,-4.30%,1/31/16,Townhouse, National
0.977441761,0.30%,0.30%,13560,5.80%,17.40%,52924,2.70%,-6.00%,61,1,-7,$224K,3.60%,5.60%,21375,16.40%,9.60%,2/29/16,Townhouse, National
0.981478904,0.40%,0.50%,17610,29.70%,5.50%,55545,4.80%,-4.90%,52,-9,-8,$230K,2.70%,4.40%,27300,27.60%,9.30%,3/31/16,Townhouse, National
0.983207316,0.20%,0.20%,18458,4.80%,0.20%,57010,2.70%,-6.70%,45,-7,-6,$240K,4.30%,7.40%,27437,0.50%,-0.80%,4/30/16,Townhouse, National
0.986237114,0.30%,0.30%,21155,14.60%,8.00%,57152,0.20%,-9.00%,38,-7,-5,$245K,2.30%,5.40%,26377,-3.90%,0.20%,5/31/16,Townhouse, National
0.985957922,0.00%,0.10%,24116,14.00%,3.70%,58090,1.50%,-7.30%,36,-2,-4,$245K,-0.20%,3.60%,26394,0.00%,3.20%,6/30/16,Townhouse, National
0.986246115,0.00%,0.30%,20473,-15.10%,-12.60%,58591,0.80%,-6.40%,38,1,-3,$244K,-0.30%,5.30%,24046,-8.90%,-2.60%,7/31/16,Townhouse, National
0.984512659,-0.20%,0.20%,22314,9.00%,16.30%,56962,-2.80%,-7.90%,39,1,-5,$241K,-1.20%,3.30%,23663,-1.60%,4.30%,8/31/16,Townhouse, National
0.983531468,-0.10%,0.20%,20105,-9.90%,21.80%,57341,0.70%,-6.90%,41,2,-5,$240K,-0.30%,2.70%,22834,-3.50%,3.50%,9/30/16,Townhouse, National
0.983014741,-0.10%,0.40%,18351,-8.80%,0.90%,55357,-3.60%,-7.70%,42,1,-6,$242K,0.60%,6.40%,20017,-12.40%,-4.10%,10/31/16,Townhouse, National
0.981357408,-0.20%,0.30%,17720,-3.30%,22.10%,51411,-7.00%,-8.90%,44,2,-7,$243K,0.70%,8.00%,16661,-16.70%,3.90%,11/30/16,Townhouse, National
0.980938625,0.00%,0.30%,18405,3.90%,1.30%,46014,-10.60%,-10.40%,46,2,-7,$244K,0.40%,6.30%,12785,-23.30%,1.20%,12/31/16,Townhouse, National
0.972710762,0.30%,1.20%,75,-39.00%,-2.60%,359,3.50%,-11.40%,79,9,11,$405K,-8.50%,11.00%,126,90.90%,-22.20%,1/31/16,Townhouse,"Chicago, IL"
