Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,New Listings,New Listings Mom,New Listings Yoy,Period End,Property Type,Region
0.977354621,-0.20%,0.30%,224604,3.60%,-0.10%,667806,-10.80%,-10.50%,54,4,-5,$268K,-1.00%,5.20%,152273,-26.00%,-3.10%,12/31/16,All Residential, National
0.979352117,0.00%,0.40%,1193,-11.40%,-16.20%,1843,-17.50%,-18.40%,28,2,-7,$520K,-1.80%,3.00%,772,-26.40%,-2.90%,12/31/16,All Residential,"San Diego, CA"
0.989434224,-0.10%,-0.10%,1258,4.70%,-8.40%,1424,-19.50%,-19.30%,24,5,-17,$349K,-0.40%,10.90%,645,-33.00%,-3.00%,12/31/16,All Residential,"Denver, CO"
0.994553725,-0.20%,-0.20%,712,-2.70%,-12.70%,1312,-14.40%,2.60%,19,2,-4,$544K,-1.30%,3.60%,519,-29.70%,6.40%,12/31/16,All Residential,"Washington, DC"
0.974387836,0.00%,0.50%,2321,-0.80%,-6.20%,9538,-15.90%,-4.20%,72,6,-1,$255K,2.80%,6.40%,1679,-30.90%,-4.80%,12/31/16,All Residential,"Chicago, IL"
,,,1072,2.70%,-12.60%,2742,-16.20%,7.30%,40,3,-1,$270K,-8.20%,4.10%,864,-22.90%,2.60%,12/31/16,All Residential,"Dallas, TX"
,,,1265,-2.20%,0.00%,3196,4.40%,10.40%,27,-1,-1,$299K,3.30%,10.60%,1714,-4.40%,-2.30%,4/30/16,All Residential,"Dallas, TX"
0.97273137,0.10%,0.30%,165717,3.90%,10.80%,765626,2.70%,-2.40%,68,2,-6,$243K,-0.10%,5.00%,270865,16.40%,13.40%,2/29/16,All Residential, National
0.97648154,-0.20%,0.20%,992,10.80%,-2.20%,2458,3.90%,-10.30%,32,-4,-13,$479K,-2.80%,0.30%,1606,15.00%,2.50%,2/29/16,All Residential,"San Diego, CA"
0.994433788,1.00%,-0.10%,934,7.40%,11.20%,1835,3.70%,27.40%,41,-4,6,$326K,2.70%,6.90%,1271,20.00%,12.00%,2/29/16,All Residential,"Denver, CO"
0.999509073,1.50%,0.80%,513,-0.40%,4.90%,1289,-2.30%,9.60%,34,-1,-4,$540K,14.90%,11.50%,794,15.20%,12.80%,2/29/16,All Residential,"Washington, DC"
0.970826833,0.20%,0.40%,1876,-10.60%,7.40%,10969,8.80%,-3.30%,84,-2,-6,$225K,4.70%,13.20%,4130,43.10%,16.80%,2/29/16,All Residential,"Chicago, IL"
,,,975,32.50%,6.80%,2776,3.30%,1.50%,36,-5,-3,$249K,1.00%,0.00%,1482,14.10%,17.10%,2/29/16,All Residential,"Dallas, TX"
0.983614277,0.30%,0.30%,263957,12.30%,6.70%,841678,1.50%,-6.40%,44,-6,-6,$269K,2.20%,4.60%,342288,-2.50%,-0.60%,5/31/16,All Residential, National
0.98430212,-0.10%,0.30%,1525,-0.20%,2.60%,2717,2.20%,-11.40%,18,1,-1,$525K,-0.10%,7.10%,1856,-2.50%,1.60%,5/31/16,All Residential,"San Diego, CA"
1.011135593,0.50%,-0.10%,1455,7.10%,12.20%,1719,5.30%,-19.50%,7,-7,-6,$360K,0.00%,7.50%,1761,1.60%,-4.30%,5/31/16,All Residential,"Denver, CO"
1.006645245,0.60%,0.20%,883,11.20%,15.10%,1547,0.80%,4.50%,12,-5,1,$570K,9.10%,6.50%,1054,-10.10%,-2.00%,5/31/16,All Residential,"Washington, DC"
0.98304026,-0.30%,0.10%,3204,10.20%,-1.90%,12723,3.60%,-6.40%,56,-4,-1,$285K,5.60%,5.90%,4778,-0.60%,2.30%,5/31/16,All Residential,"Chicago, IL"
,,,1413,11.70%,4.60%,3208,0.40%,6.40%,25,-2,1,$300K,0.30%,3.60%,1588,-7.40%,-7.80%,5/31/16,All Residential,"Dallas, TX"
0.979148141,-0.10%,0.40%,228331,-8.70%,-0.40%,806581,-3.80%,-6.70%,49,3,-5,$269K,0.60%,7.60%,248987,-11.60%,-5.20%,10/31/16,All Residential, National
0.981368234,-0.20%,0.30%,1390,-5.90%,6.30%,2448,-8.60%,-18.70%,27,3,-4,$542K,3.30%,13.90%,1309,-9.60%,-7.80%,10/31/16,All Residential,"San Diego, CA"
0.993873087,-0.40%,-0.10%,1329,-2.60%,-2.50%,2089,-9.50%,-20.10%,17,4,-14,$346K,1.80%,11.60%,1222,-23.90%,-19.30%,10/31/16,All Residential,"Denver, CO"
0.997324467,0.50%,-0.30%,693,-10.70%,-5.20%,1569,-2.20%,-9.60%,19,-4,4,$543K,2.60%,5.40%,923,-18.80%,-11.00%,10/31/16,All Residential,"Washington, DC"
0.980585057,0.10%,0.50%,2660,-11.90%,-10.90%,12356,-3.90%,-2.10%,65,2,-4,$252K,-1.80%,6.30%,3109,-18.60%,-2.00%,10/31/16,All Residential,"Chicago, IL"
,,,1066,-11.30%,-3.70%,3494,-0.70%,5.10%,34,5,1,$297K,0.70%,17.60%,1382,-9.30%,3.60%,10/31/16,All Residential,"Dallas, TX"
0.978362947,0.60%,0.40%,222043,34.00%,5.50%,795934,4.00%,-1.70%,60,-8,-7,$254K,4.40%,5.00%,340460,25.70%,8.40%,3/31/16,All Residential, National
0.982258405,0.60%,0.30%,1383,39.40%,2.40%,2517,2.40%,-10.00%,18,-14,-10,$500K,4.40%,2.00%,1809,12.60%,-4.70%,3/31/16,All Residential,"San Diego, CA"
1.002347153,0.80%,-0.10%,1215,30.10%,-4.30%,1551,-15.50%,-4.60%,28,-13,9,$344K,5.50%,7.50%,1555,22.30%,-2.10%,3/31/16,All Residential,"Denver, CO"
0.995932113,-0.40%,0.10%,686,33.70%,13.00%,1498,16.20%,16.80%,23,-11,3,$485K,-10.20%,-3.20%,1227,54.50%,23.90%,3/31/16,All Residential,"Washington, DC"
0.980057011,0.90%,0.80%,2393,27.60%,0.80%,11762,7.20%,-3.50%,79,-5,-4,$250K,10.90%,10.90%,4835,17.10%,-1.10%,3/31/16,All Residential,"Chicago, IL"
,,,1293,32.60%,9.80%,3062,10.30%,13.60%,28,-8,-3,$289K,16.00%,5.20%,1792,20.90%,19.50%,3/31/16,All Residential,"Dallas, TX"
0.978489799,0.40%,0.50%,895,-37.10%,1.60%,2365,4.70%,-13.70%,36,1,-9,$493K,-2.40%,7.20%,1396,75.60%,-0.90%,1/31/16,All Residential,"San Diego, CA"
0.98445618,-0.60%,-0.70%,870,-36.70%,17.10%,1770,0.30%,16.90%,45,4,12,$317K,0.80%,13.00%,1059,59.20%,-0.50%,1/31/16,All Residential,"Denver, CO"
0.984260284,-1.30%,0.00%,515,-36.90%,6.20%,1320,3.20%,12.90%,35,12,-2,$470K,-10.40%,-3.10%,689,41.20%,6.70%,1/31/16,All Residential,"Washington, DC"
0.968704059,0.00%,-0.10%,2098,-15.20%,17.10%,10078,1.20%,-6.20%,86,13,1,$215K,-10.30%,2.40%,2887,63.70%,-1.00%,1/31/16,All Residential,"Chicago, IL"
,,,736,-40.00%,4.80%,2687,5.10%,-1.80%,41,0,1,$247K,-4.90%,22.10%,1299,54.30%,7.70%,1/31/16,All Residential,"Dallas, TX"
0.981085556,0.30%,0.40%,234992,5.80%,2.00%,826487,3.80%,-3.20%,50,-10,-6,$264K,3.90%,5.30%,350319,2.90%,0.30%,4/30/16,All Residential, National
0.985452596,0.30%,0.50%,1528,10.50%,-2.40%,2658,5.60%,-11.20%,17,-1,-7,$526K,5.10%,7.40%,1903,5.20%,-2.50%,4/30/16,All Residential,"San Diego, CA"
1.006520708,0.40%,-0.30%,1358,11.80%,3.80%,1633,5.30%,-14.60%,14,-14,2,$360K,4.70%,10.80%,1734,11.50%,-5.30%,4/30/16,All Residential,"Denver, CO"
1.000649543,0.50%,-0.30%,794,15.70%,2.20%,1535,2.50%,8.00%,17,-6,3,$523K,7.70%,4.50%,1172,-4.50%,-0.30%,4/30/16,All Residential,"Washington, DC"
0.986221847,0.60%,1.00%,2908,21.50%,2.10%,12285,4.40%,-6.00%,60,-19,-7,$270K,8.20%,5.90%,4809,-0.50%,-4.70%,4/30/16,All Residential,"Chicago, IL"
0.980346272,-0.10%,0.20%,250025,-11.40%,15.00%,836653,-0.90%,-5.60%,46,2,-4,$267K,-1.30%,4.80%,281271,-7.30%,2.10%,9/30/16,All Residential, National
0.983143709,0.10%,0.40%,1477,-5.70%,9.20%,2678,-9.70%,-18.10%,24,2,-2,$525K,-0.10%,12.90%,1448,-12.50%,-2.00%,9/30/16,All Residential,"San Diego, CA"
0.998155884,-0.40%,-0.30%,1364,-9.40%,14.10%,2309,4.10%,-14.60%,13,2,-11,$340K,-2.90%,9.60%,1606,-6.80%,1.30%,9/30/16,All Residential,"Denver, CO"
0.992327116,-0.20%,-0.50%,776,-5.70%,45.30%,1605,19.20%,-4.80%,23,6,0,$529K,-8.00%,4.60%,1137,62.40%,1.20%,9/30/16,All Residential,"Washington, DC"
0.979693736,-0.30%,-0.20%,3020,-16.80%,52.90%,12853,1.30%,-2.50%,63,2,-2,$257K,-4.80%,2.80%,3821,-2.10%,2.80%,9/30/16,All Residential,"Chicago, IL"
,,,1202,-6.70%,7.60%,3520,4.50%,2.60%,29,-2,-2,$295K,1.70%,13.40%,1523,-1.20%,3.80%,9/30/16,All Residential,"Dallas, TX"
0.97192674,-0.30%,0.30%,159514,-29.00%,12.10%,744443,0.00%,-3.40%,66,7,-7,$243K,-4.50%,6.20%,232357,48.20%,-3.50%,1/31/16,All Residential, National
0.984325891,0.10%,0.20%,299010,13.30%,2.50%,854863,1.90%,-5.70%,42,-2,-4,$276K,2.50%,5.50%,344182,0.70%,1.70%,6/30/16,All Residential, National
0.986699699,0.20%,0.50%,1674,9.80%,-1.90%,2978,9.60%,-7.60%,16,-2,-6,$530K,1.00%,3.90%,1949,5.00%,0.70%,6/30/16,All Residential,"San Diego, CA"
1.009798949,-0.10%,-0.30%,1514,4.10%,-10.40%,2041,18.70%,-10.10%,7,0,-6,$363K,0.90%,11.00%,1932,9.70%,6.30%,6/30/16,All Residential,"Denver, CO"
1.001498668,-0.50%,-0.50%,952,7.80%,3.70%,1525,-1.40%,3.00%,15,3,2,$550K,-3.50%,-1.90%,1018,-3.40%,1.80%,6/30/16,All Residential,"Washington, DC"
0.987391,0.40%,0.50%,3692,15.20%,-9.80%,12990,2.10%,-5.40%,54,-2,-3,$280K,-1.80%,1.80%,4669,-2.30%,0.40%,6/30/16,All Residential,"Chicago, IL"
,,,1337,-5.40%,-5.00%,3352,4.50%,7.90%,27,2,3,$300K,0.20%,7.20%,1664,4.80%,-0.20%,6/30/16,All Residential,"Dallas, TX"
0.98243903,-0.10%,0.40%,1567,6.60%,8.00%,2966,-3.90%,-12.00%,22,3,-1,$526K,-0.70%,6.80%,1655,-8.70%,-3.10%,8/31/16,All Residential,"San Diego, CA"
1.002509722,-0.10%,-0.30%,1506,5.80%,-2.10%,2218,3.10%,-16.10%,11,3,-12,$350K,-5.40%,10.60%,1723,3.40%,-0.20%,8/31/16,All Residential,"Denver, CO"
0.994586887,-0.60%,-0.70%,823,0.50%,8.30%,1346,-9.10%,-6.10%,17,1,-1,$575K,3.00%,9.50%,700,-19.50%,-5.40%,8/31/16,All Residential,"Washington, DC"
0.982905574,-0.40%,0.30%,3628,8.50%,20.50%,12691,-2.80%,-5.20%,61,5,-2,$270K,-7.10%,1.30%,3902,-4.60%,1.70%,8/31/16,All Residential,"Chicago, IL"
,,,1288,8.50%,2.80%,3367,-2.60%,2.80%,31,4,2,$290K,5.40%,16.00%,1542,0.90%,0.80%,8/31/16,All Residential,"Dallas, TX"
0.978966171,0.00%,0.50%,216798,-5.10%,19.60%,751114,-6.90%,-7.90%,50,1,-6,$271K,0.60%,7.70%,206066,-17.20%,1.70%,11/30/16,All Residential, National
0.979455034,-0.20%,0.20%,1346,-3.20%,27.70%,2233,-8.80%,-15.10%,26,-1,-3,$530K,-2.40%,8.80%,1049,-19.90%,-2.90%,11/30/16,All Residential,"San Diego, CA"
0.990875552,-0.30%,0.00%,1202,-9.60%,16.70%,1769,-15.30%,-21.90%,19,2,-16,$351K,1.40%,8.00%,962,-21.30%,3.40%,11/30/16,All Residential,"Denver, CO"
0.996847782,0.00%,0.00%,732,5.60%,15.80%,1533,-2.30%,0.90%,17,-2,-2,$551K,1.50%,1.60%,738,-20.00%,14.20%,11/30/16,All Residential,"Washington, DC"
